dataset,scenario,method,target_fpr,n_seeds,test_fpr_mean,test_fpr_std,test_recall_mean,test_recall_std,test_precision_mean,test_precision_std,test_f1_mean,test_f1_std
default_credit,alpha_0p3,fedrba,0.01,3,0.008702475212212013,0.0008101731001926614,0.08967596081386586,0.022240172665220357,0.7407812536484069,0.03516204318102799,0.1595550507894381,0.03619747705052404
default_credit,alpha_0p3,fedrba,0.05,3,0.04864826307154576,0.002588664999161718,0.33710123084652094,0.002853005951168193,0.6631560917429968,0.013697971773409284,0.44697641976801855,0.00562331182126015
default_credit,alpha_0p3,fedrba,0.1,3,0.09850916613167841,0.0049743357933122595,0.46847525747299673,0.005129509634931439,0.5747188499826824,0.013055963074720303,0.5161463362387675,0.00687826983103227
default_credit,alpha_0p3,fedrba_classagg,0.01,3,0.008845138740281033,0.001178594168047512,0.08414971112785734,0.012549606628281133,0.7293935825728584,0.0100533758288305,0.1507002874080926,0.020403455224549158
default_credit,alpha_0p3,fedrba_classagg,0.05,3,0.050074898352236254,0.0019259576289321623,0.32479276563677467,0.010550113036925395,0.6481401108019097,0.00555569119188034,0.4326667647959072,0.00950170902206574
default_credit,alpha_0p3,fedrba_classagg,0.1,3,0.09651187673871171,0.007995523942764572,0.46948003014318007,0.007939452715035976,0.5805577955947879,0.01628046709174568,0.518971633373967,0.0016453078117317772
give_me_some_credit,alpha_0p3,fedavg,0.01,3,0.009846996487468007,0.0009466537696160127,0.18620116375727347,0.018875900201545014,0.5751521174799166,0.014261244201260983,0.2810117643917482,0.021914541373008998
give_me_some_credit,alpha_0p3,fedavg,0.05,3,0.05017562659998809,0.0011686354427400604,0.46018287614297587,0.006641723808957007,0.3964915653612824,0.007700963023215986,0.42595799959710573,0.006841848816388383
give_me_some_credit,alpha_0p3,fedavg,0.1,3,0.10136333869143299,0.0017001435254963711,0.5837073981712386,0.0106543441197088,0.292007747080179,0.00427079225092772,0.3892631673598898,0.005602080718000639
give_me_some_credit,alpha_0p3,fedavg_classweight,0.01,3,0.010073227362028944,0.0009471029529246739,0.18653366583541145,0.017975881586972667,0.5699880715932699,0.022802999766304143,0.280834834676387,0.021734684940170917
give_me_some_credit,alpha_0p3,fedavg_classweight,0.05,3,0.04960409596951835,0.0011977524597196938,0.44322527015793844,0.012719019418743253,0.39021544911342526,0.006264747620391326,0.4149991699210806,0.00821260182088936
give_me_some_credit,alpha_0p3,fedavg_classweight,0.1,3,0.09926772637971067,0.002678573512458301,0.571737323358271,0.0163171816556143,0.29204155425105405,0.004384257590030687,0.38656800898655796,0.006390590825389544
give_me_some_credit,alpha_0p3,fedprox,0.01,3,0.010037506697624599,0.0008669163135925421,0.1883624272651704,0.01521265141627188,0.573407273639773,0.011977923577242863,0.28335192783425084,0.017536152631063045
