dataset,scenario,method,target_recall,n_seeds,test_recall_mean,test_recall_std,test_precision_mean,test_precision_std,test_fpr_mean,test_fpr_std,test_f1_mean,test_f1_std
give_me_some_credit,alpha_0p3,fedavg_classweight,0.7,3,0.6970906068162925,0.01500686164109295,0.20685600333390933,0.01641215835250176,0.19265345002083709,0.022806191945854076,0.31871325520672317,0.01897991803128293
give_me_some_credit,alpha_0p3,fedavg_classweight,0.8,3,0.7921862011637573,0.003608068896793133,0.14880046846366746,0.012715912579862477,0.32648687265583143,0.03398360835189425,0.25037390837258827,0.018061527405664114
give_me_some_credit,alpha_0p3,fedprox,0.5,3,0.49891936824605154,0.009623910648981729,0.3612305048062116,0.01122104515866657,0.06328511043638745,0.004235623376874634,0.4188942712539007,0.00508130661096285
give_me_some_credit,alpha_0p3,fedprox,0.7,3,0.6919368246051537,0.006155780076998683,0.21684471775230862,0.012868973042894588,0.17961540751324637,0.01569167493446077,0.3300209787589618,0.014405652699798262
give_me_some_credit,alpha_0p3,fedprox,0.8,3,0.7970074812967581,0.0038953863720232727,0.15240544950580917,0.007792553077737307,0.31810442340894207,0.019086548554261694,0.25582196036577504,0.011027507629639981
give_me_some_credit,alpha_0p3,fedrba,0.5,3,0.5010806317539485,0.007403306426670766,0.36220605194276273,0.014088378559463892,0.06333273798892662,0.004874791101048638,0.4202759340717139,0.007004254528218989
give_me_some_credit,alpha_0p3,fedrba,0.7,3,0.6972568578553616,0.011622124885517272,0.21442475737418695,0.0026646729892386037,0.1830088706316604,0.005910267917410791,0.3279519729407257,0.0018105713637645334
give_me_some_credit,alpha_0p3,fedrba,0.8,3,0.7871986699916874,0.001038237406217536,0.15461112426006293,0.004678683850202446,0.308483657796035,0.010553204661971448,0.25843899963528894,0.0065659211854176905
give_me_some_credit,alpha_0p3,fedrba_classagg,0.5,3,0.5002493765586035,0.0121351870928643,0.35945106103544405,0.01471556685705691,0.06402333750074418,0.005692526191587336,0.41803741449124665,0.006122796801651683
give_me_some_credit,alpha_0p3,fedrba_classagg,0.7,3,0.6950955943474647,0.009051143866211914,0.2110480436268581,0.009089212210253673,0.1864737750788831,0.012442350574382697,0.3236694658013009,0.009843006080466525
give_me_some_credit,alpha_0p3,fedrba_classagg,0.8,3,0.7891936824605154,0.007796092493894173,0.15058279810241162,0.007895815924011737,0.3195689706495208,0.021093841235577133,0.25283465617610495,0.010948143294116067
