dataset,scenario,method,seed,validation_indices_sha256,validation_targets_sha256,test_targets_sha256,selected_checkpoint_round,validation_checkpoint_pr_auc,validation_checkpoint_roc_auc,threshold_selected_on_validation,test_roc_auc,test_pr_auc,validation_accuracy,test_accuracy,validation_balanced_accuracy,test_balanced_accuracy,validation_precision,test_precision,validation_recall,test_recall,validation_fpr,test_fpr,validation_f1,test_f1,validation_predicted_positive_rate,test_predicted_positive_rate
give_me_some_credit,alpha_0p3,fedavg,1,639176b6adcfcdc3bb79d4bcc515be38cc98b32b2676cffc61f260e9f954fe5e,047e83f180c5735a2b4102ed3da4e6a8208d818ea52099bbfe69ebe0c6181f99,abd041e002dee1909a709c78fb9668d4b5eb8e3c76f9262f89ca331f700c86cf,140,0.33234889359651787,0.8079214379133328,0.003397459862753749,0.8164638145661031,0.3431019482665448,0.8339166666666666,0.8351666666666666,0.7414364946471543,0.7482302014208986,0.2287655719139298,0.23456121343445288,0.6348208673790069,0.6478802992518703,0.15194787808469812,0.15141989641007325,0.3363303363303364,0.344425294975474,0.18395833333333333,0.1846
give_me_some_credit,alpha_0p3,fedavg,2,2f58be74fb0bb2a1c42d91f9e7bcd7b1bab95bf01bdc4c0ef65ea104f7b24a74,42c89417477ac6d2bd3ecd1d104d6e978be9ed70f93788fec4903db09f796335,38cc391dee7e126f50e636cc39d63383920852985821436932ed7380fdb13040,130,0.36925332953808704,0.826961176900804,0.04437506943941116,0.8283417550070172,0.37271071884684087,0.8215342305929414,0.8217666666666666,0.7630684971255608,0.7563304188181093,0.23136299004671948,0.22480237154150198,0.6953601953601953,0.6807980049875312,0.16922320110907385,0.1681371673513128,0.3472031702484378,0.3379967809830383,0.20513354723113464,0.2024
give_me_some_credit,alpha_0p3,fedavg,3,2bef34180fa43d15c8b3a832fda67b178e8a0d4eef749c72e506bbfdbdc5dfca,1413e6409c41bb34689b5935ab816fd9f26db03fa6f981b19287e3faccc9b043,5a7b6d299945f96b9f9f7365778ef9809566c3a3cc5542e6046530e5931bc00f,20,0.37044463175663334,0.8364176889172664,0.1363644152879715,0.8317504328124145,0.36190855483311846,0.8165833333333333,0.8115666666666667,0.7631923013523129,0.7571160952770779,0.22301445830857597,0.21641791044776118,0.7015576323987539,0.6942643391521197,0.17517302969412818,0.1800321485979639,0.3384430417793809,0.3299751096361266,0.210375,0.2144
give_me_some_credit,alpha_0p3,fedavg_classweight,1,639176b6adcfcdc3bb79d4bcc515be38cc98b32b2676cffc61f260e9f954fe5e,047e83f180c5735a2b4102ed3da4e6a8208d818ea52099bbfe69ebe0c6181f99,abd041e002dee1909a709c78fb9668d4b5eb8e3c76f9262f89ca331f700c86cf,20,0.3234438005441585,0.8062662345612406,0.2043556272983551,0.8112105608456088,0.3310560113630069,0.7957083333333334,0.8021666666666667,0.7437484782016204,0.7446709623512214,0.19825072886297376,0.20451127819548873,0.6838466373350094,0.6783042394014963,0.19634968093176852,0.18896231469905345,0.3073880491594858,0.31426920854997115,0.22866666666666666,0.22166666666666668
give_me_some_credit,alpha_0p3,fedavg_classweight,2,2f58be74fb0bb2a1c42d91f9e7bcd7b1bab95bf01bdc4c0ef65ea104f7b24a74,42c89417477ac6d2bd3ecd1d104d6e978be9ed70f93788fec4903db09f796335,38cc391dee7e126f50e636cc39d63383920852985821436932ed7380fdb13040,20,0.371787899627341,0.825657819117414,0.10440368950366974,0.8220704267194133,0.3578972478601606,0.8223259302470937,0.8217666666666666,0.7623617841743149,0.7521631267428857,0.2318218954248366,0.2231610337972167,0.6929181929181929,0.6718204488778055,0.16819462456956313,0.16749419539203425,0.3474135292317111,0.33503295609998757,0.20400850035418142,0.2012
give_me_some_credit,alpha_0p3,fedavg_classweight,3,2bef34180fa43d15c8b3a832fda67b178e8a0d4eef749c72e506bbfdbdc5dfca,1413e6409c41bb34689b5935ab816fd9f26db03fa6f981b19287e3faccc9b043,5a7b6d299945f96b9f9f7365778ef9809566c3a3cc5542e6046530e5931bc00f,10,0.3608185553490211,0.8368749421843299,0.30125686526298523,0.8331558850685395,0.35814232082207753,0.7862916666666667,0.7806666666666666,0.7660482041844286,0.7572287356265525,0.2017603249830738,0.1951219512195122,0.7426791277258566,0.7301745635910224,0.21058271935699935,0.21571709233791747,0.31731665113802743,0.30795119899032397,0.24616666666666667,0.2501
give_me_some_credit,alpha_0p3,fedprox,1,639176b6adcfcdc3bb79d4bcc515be38cc98b32b2676cffc61f260e9f954fe5e,047e83f180c5735a2b4102ed3da4e6a8208d818ea52099bbfe69ebe0c6181f99,abd041e002dee1909a709c78fb9668d4b5eb8e3c76f9262f89ca331f700c86cf,70,0.34430212764551366,0.8225911044821014,0.012212744913995266,0.8245752648206239,0.35460050779058827,0.8130416666666667,0.8167,0.751862641948851,0.7545417132289833,0.21406003159557663,0.21967265725288831,0.6813324952859836,0.6827930174563591,0.1776072113882815,0.17370959099839256,0.32577009767092413,0.3324025737525798,0.211,0.20773333333333333
give_me_some_credit,alpha_0p3,fedprox,2,2f58be74fb0bb2a1c42d91f9e7bcd7b1bab95bf01bdc4c0ef65ea104f7b24a74,42c89417477ac6d2bd3ecd1d104d6e978be9ed70f93788fec4903db09f796335,38cc391dee7e126f50e636cc39d63383920852985821436932ed7380fdb13040,110,0.3745314229685127,0.8316087871899329,0.04604523256421089,0.8340516185870384,0.3673408095797501,0.8122005083545147,0.8135666666666667,0.7673951447932934,0.75841923143561,0.2248225589871475,0.21854408534672107,0.7155067155067155,0.6947630922693266,0.18071642592012882,0.17792462939810683,0.34213983360093414,0.33249791144527985,0.21721738405766908,0.21246666666666666
give_me_some_credit,alpha_0p3,fedprox,3,2bef34180fa43d15c8b3a832fda67b178e8a0d4eef749c72e506bbfdbdc5dfca,1413e6409c41bb34689b5935ab816fd9f26db03fa6f981b19287e3faccc9b043,5a7b6d299945f96b9f9f7365778ef9809566c3a3cc5542e6046530e5931bc00f,70,0.37393011237578827,0.8374179678235365,0.028055941686034203,0.8328092164658901,0.36174077258105375,0.81775,0.8113333333333334,0.7707582425149138,0.7600007838948797,0.22686920497139476,0.21732405259087392,0.7165109034267912,0.7007481296758105,0.1749944183969636,0.1807465618860511,0.3446209169913096,0.3317591499409681,0.21120833333333333,0.2155
give_me_some_credit,alpha_0p3,fedrba,1,639176b6adcfcdc3bb79d4bcc515be38cc98b32b2676cffc61f260e9f954fe5e,047e83f180c5735a2b4102ed3da4e6a8208d818ea52099bbfe69ebe0c6181f99,abd041e002dee1909a709c78fb9668d4b5eb8e3c76f9262f89ca331f700c86cf,30,0.3383143658099529,0.8224336831084328,0.5613594651222229,0.8265314299534251,0.349576397758492,0.79025,0.7941,0.7548393994859129,0.7570179302591886,0.19877515310586177,0.20352472996020465,0.7140163419233186,0.714214463840399,0.20433754295149276,0.20017860332202175,0.3109772789488092,0.31677911735427494,0.238125,0.23453333333333334
