dataset,scenario,method,n_seeds,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,balanced_accuracy_mean,balanced_accuracy_std,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,minority_recall_mean,minority_recall_std,minority_f1_mean,minority_f1_std,last20_collapse_rate_mean,last20_collapse_rate_std,all_rounds_collapse_rate_mean,all_rounds_collapse_rate_std,last20_predicted_positive_rate_mean,last20_predicted_positive_rate_std
fashion_mnist,alpha_0p1,fedavg,3,0.6017333333,0.02979694797,0.554973668,0.03751683478,0.6017333333,0.02979694797,0.9605656063,0.007788644657,0.8171724321,0.0235539115,0.03585,0.03019598483,0.0592643691,0.04765748768,0.4333333333,0.2020725942,0.6433333333,0.2596792894,,
fashion_mnist,alpha_0p1,fedavg_classweight,3,0.5841233333,0.05256408192,0.5408457983,0.06005456408,0.5841233333,0.05256408192,0.9579758601,0.01114276413,0.8094679294,0.03547520492,0.04125,0.04400434638,0.06761141276,0.07011170941,0.4333333333,0.2466441431,0.6366666667,0.2542308662,,
fashion_mnist,alpha_0p1,fedprox,3,0.6503633333,0.05140899103,0.6138241064,0.06399113986,0.6503633333,0.05140899103,0.9658545435,0.008194852296,0.8340193519,0.02741080813,0.0816,0.06127244487,0.1274346583,0.09013826145,0.2,0.1732050808,0.42,0.2165640783,,
fashion_mnist,alpha_0p1,fedrba,3,0.62256,0.05684108703,0.5852531841,0.07166498377,0.62256,0.05684108703,0.9626016685,0.009413455231,0.8113223689,0.03644499286,0.0713,0.08073253681,0.1082608589,0.1115619378,0.3166666667,0.2020725942,0.4266666667,0.2371356855,,
fashion_mnist,alpha_0p1,fedrba_classagg,3,0.631405,0.0349267963,0.5944077926,0.04070050181,0.631405,0.0349267963,0.9651761073,0.004781301716,0.8171187344,0.02662308676,0.05065,0.0330623275,0.08230978622,0.04759664011,0.25,0.1322875656,0.4066666667,0.1890326251,,
fashion_mnist,alpha_0p3,fedavg,3,0.8022866667,0.01052751672,0.7906026953,0.01321277509,0.8022866667,0.01052751672,0.9838846769,0.001238687048,0.9049599194,0.00522225131,0.3151166667,0.07958197556,0.402466333,0.08962728432,0.01666666667,0.02886751346,0.06,0.02645751311,,
fashion_mnist,alpha_0p3,fedavg_classweight,3,0.7974183333,0.01268455196,0.7878314493,0.01454537207,0.7974183333,0.01268455196,0.9832748939,0.001104616681,0.9023241725,0.005293104201,0.32315,0.0672354817,0.4101005167,0.06551222337,0.0,0.0,0.05,0.02,,
fashion_mnist,alpha_0p3,fedprox,3,0.8097083333,0.008635637402,0.7998025439,0.01051877023,0.8097083333,0.008635637402,0.9848980122,0.0007360098729,0.9080529714,0.003435627273,0.3433,0.06636768792,0.4304480204,0.07452985615,0.0,0.0,0.04333333333,0.02081665999,,
fashion_mnist,alpha_0p3,fedrba,3,0.81104,0.00945343985,0.8050199927,0.01083772269,0.81104,0.00945343985,0.9851710483,0.0003684940429,0.9072243034,0.001972280983,0.37895,0.04395597229,0.4669531509,0.03034310878,0.0,0.0,0.04,0.02,,
fashion_mnist,alpha_0p3,fedrba_classagg,3,0.820525,0.006419546324,0.8140760719,0.006074914575,0.820525,0.006419546324,0.9860494595,0.0001178640676,0.9117945692,0.001137517661,0.4076166667,0.02326404594,0.4945409549,0.01520287437,0.0,0.0,0.03333333333,0.01154700538,,
fashion_mnist,alpha_1,fedavg,3,0.86013,0.003535350053,0.8595951317,0.003496375908,0.86013,0.003535350053,0.9892046273,0.0001583392505,0.9307024457,0.000682644946,0.60215,0.009847969334,0.6529101346,0.005526820296,0.0,0.0,0.003333333333,0.005773502692,,
fashion_mnist,alpha_1,fedavg_classweight,3,0.85804,0.003115754323,0.8582034995,0.004065384763,0.85804,0.003115754323,0.9892363893,0.0001082735149,0.9308934873,0.0009226819867,0.6169666667,0.02259172046,0.6547474361,0.007781949804,0.0,0.0,0.003333333333,0.005773502692,,
fashion_mnist,alpha_1,fedprox,3,0.859675,0.001518938774,0.859618505,0.001991880548,0.859675,0.001518938774,0.9891693529,0.0001092245066,0.9303436565,0.000675205322,0.6148333333,0.01426055165,0.6580504999,0.0006701308968,0.0,0.0,0.0,0.0,,
fashion_mnist,alpha_1,fedrba,3,0.8591166667,0.002562793073,0.8594651386,0.003130805822,0.8591166667,0.002562793073,0.9892728758,0.0002684649971,0.9302959502,0.001558539185,0.6191666667,0.01814506361,0.6570140375,0.005452645487,0.0,0.0,0.003333333333,0.005773502692,,
fashion_mnist,alpha_1,fedrba_classagg,3,0.8621816667,0.0008580404031,0.8618978413,0.001252177597,0.8621816667,0.0008580404031,0.9893857419,0.0002773811087,0.930846523,0.001596183468,0.61805,0.01873846312,0.6598768696,0.007347779868,0.0,0.0,0.003333333333,0.005773502692,,
give_me_some_credit,alpha_0p3,fedavg,3,0.9331561111,1.182433147e-05,0.4867703084,0.006967072296,0.502459992,0.004241598166,0.7909332185,0.01700790158,0.3189589956,0.01927592757,0.005311720698,0.009135456778,0.008131045876,0.01395521791,0.9166666667,0.1040833,0.7488888889,0.07128451081,0.0007205555556,0.001219285234
give_me_some_credit,alpha_0p3,fedavg_classweight,3,0.9290983333,0.003678032007,0.5089989307,0.01719900837,0.525540356,0.01905813903,0.7915108989,0.01909812856,0.3147539887,0.01321783052,0.05971737323,0.04513539582,0.05511318946,0.03651282507,0.6833333333,0.1892969449,0.5288888889,0.1575271875,0.01205055556,0.009629249471
give_me_some_credit,alpha_0p3,fedprox,3,0.9333083333,6.353039518e-05,0.4965548651,0.009465580096,0.5091706355,0.00681638701,0.8158184109,0.004342263727,0.3368439119,0.005437770861,0.01959268495,0.01475688463,0.0276529488,0.01900171,0.7333333333,0.05773502692,0.6444444444,0.04337604732,0.002477222222,0.002035262973
give_me_some_credit,alpha_0p3,fedrba,3,0.9196005556,0.01538981412,0.5246735585,0.01749695334,0.5479053178,0.02263160292,0.7776084893,0.01395984983,0.3069692416,0.01439896305,0.1188611804,0.06255312769,0.0925973665,0.03755760878,0.5333333333,0.2362907813,0.4511111111,0.1645645207,0.02945388889,0.02282871744
give_me_some_credit,alpha_0p3,fedrba_classagg,3,0.9311805556,0.002807065655,0.5038122905,0.01863514242,0.5185259532,0.01711853842,0.779773614,0.02802261974,0.310910701,0.02202302948,0.04220282627,0.03968807625,0.04347807436,0.03868482232,0.8166666667,0.1040833,0.7044444444,0.05003702333,0.007627222222,0.007883568766
